Date,Country,Area,Activity,Injury,Fatal,Species
2011-01-03,Australia,Western Australia,Fishing,"No injury, shark nudged boat and bit propeller",N,White Shark
2011-01-15,South Africa,Eastern Cape Province,Surfing,FATAL,Y,
2011-01-20,Australia,New South Wales,Swimming,Lacerations to both legs,,
2011-01-26,Bahamas,West End,Scuba diving,Arm bitten ,N,Reef Shark
2011-01-28,Mexico,Colima,Shark fishing on the Don Agust�n-VI. ,Left eg bitten PROVOKED INCIDENT,N,
2011-01-31,Mexico,Quintana Roo,Swimming,"Leg, forearm & hand severely bitten",N,
2011-02-02,South Africa,Eastern Cape Province,Surf fishing,Right leg bitten,N,
2011-02-04,Mexico,Colima,Shark fishing on the Ricardo Astorga,Left foot bitten PROVOKED INCIDENT,N,
2011-02-12,Australia,Western Australia,Snorkeling,Arm bitten,N,
2011-02-13,Australia,Queensland,Fishing,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,
2011-02-17,Australia,South Australia,Diving for abalone,FATAL,Y,White Shark
2011-02-18,Reunion,Saint Gilles,Surfing,Left leg severed at the knee,N,
2011-02-23,New Caledonia,Loyalty Islands,Spearfishing,Lacerations to left forearm,N,
2011-02-28,Australia,Queensland,Fishing,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,Bull Shark
2011-03-10,Australia,New South Wales,Surfing,"No injury, surboard broken",N,
2011-03-16,Australia,New South Wales,Wakeboarding,"Severe injuries to head, neck, shoulder & upper left arm",N,
2011-03-21,Fiji,,Diving / fishing,"Left forearm severely bitten, surgically amputated",N,
2011-03-21,Mexico,Quintana Roo,Swimming,Right foot bitten,N,
2011-03-23,Australia,New South Wales,Surfing,Severe injury to left forearm,N,Bull Shark
2011-03-24,Mexico,Quintana Roo,Swimming,Lower leg & foot bitten,N,Bull Shark
2011-03-29,Usa,Texas,"Standing, holding shark pup",Minor laceration to shoulder from captive shark PROVOKED INCIDENT,N,Blacktip Shark
2011-04-08,Fiji,Vitu Levu,Diving,Minor injuries to left leg and hand,N,
2011-04-13,Indonesia,Bali,Surfing,Lacerations to forearm,N,Bull Shark
2011-04-16,New Zealand,South Island,Surfing,Puncture to left hand,N,Whaler Shark
2011-04-22,Usa,Florida,Surfing ,Minor puncture wounds,N,
2011-04-23,Australia,Western Australia,Washing sand off a speared fish,Heel bitten,N,Reef Shark
2011-04-26,Usa,Florida,Spearfishing,Calf bitten,N,Bull Shark
2011-05-04,South Africa,Kwazulu-Natal,Spearfishing,Calf bitten,N,
2011-05-07,United Arab Emirates (Uae),Umm Al Qaywayan Province,Fishing ,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",,
2011-05-10,Usa,Florida,Fishing ,Laceration to arm by captive shark PROVOKED INCIDENT,N,Sandbar Shark
2011-05-13,Usa,Florida,Surfing,Minor injury; puncture wounds to calf,N,
2011-05-13,Usa,Florida,Body surfing,Lacerations to left foot & ankle,N,
2011-05-21,New Caledonia,North Province,Kite Boarding,"Thigh bitten, FATAL",Y,Tiger Shark
2011-05-21,South Africa,Kwazulu-Natal,Spearfishing,"Thigh bitten, FATAL",Y,Zambesi Shark
2011-05-22,Usa,Hawaii,Paddle boarding,"No injury, board bitten",N,Tiger Shark
2011-05-25,Usa,Hawaii,Surfing,"No injury, board bitten",N,Tiger Shark
2011-05-29,South Africa,Western Cape Province,Surfing,"No injury, board bumped by shark",N,White Shark
2011-05-30,Usa,Texas,Standing or boogie boardin,Lacerations & punctures to right thigh ,N,
2011-06-01,Malaysia,Kedah,Snorkeling,Laceration to dorsum of right foot,N,Reef Shark
2011-06-06,Usa,Florida,Wading,Puncture wound to calf,N,
2011-06-06,Usa,California,Spearfishing,"No injury, minor damage to wetsuit",N,Sevengill Shark
2011-06-06,Columbia,San Andr�S Archipelago,Spearfishing,Injuries to right hand and forearm,N,
2011-06-12,Usa,Florida,Scuba diving,Lacerations to right calf,N,Blacktip Shark
2011-06-14,United Kingdom,Cornwall,Fishing,"No injury, shark slammed into boat",N,Whitetip Shark
2011-06-15,Reunion,Saint-Gilles-Les-Bains,Boogie Boarding,FATAL,Y,
2011-06-19,Costa Rica,Guanacaste,Surfing,FATAL,Y,
2011-06-19,Turks & Caicos,Caicos Bank,Spearfishing,Right calf bitten,N,
2011-06-21,Usa,Florida,Jet skiing,Lacerations to foot and ankle,N,
2011-06-24,Usa,California,Surfing,Shark leapt onto surfboard; surfer uninjured ,N,White Shark
2011-06-28,South Africa,Kwazulu-Natal,Scuba diving,Severe lacerations to hands and  left leg,N,Bull Shark
2011-06-29,Brazil,Pernambuco,Surfing,Lacerations to right thigh,N,
2011-06-30,Turks & Caicos,Middle Caicos,Snorkeling,Lacerations to left shoulder and back,N,
2011-07-05,Columbia,Sucre,Kayaking,"Right arm bitten, defense wounds to left hand",N,
2011-07-06,Reunion,Saint-Gilles,Surfing,Minor injuries: scratches on nose & ankle. Board broken in two,N,
2011-07-07,Usa,Texas,Wade Fishing,Lacerations to right foot,N,
2011-07-07,Usa,Texas,Swimming,Foot bitten,N,
2011-07-13,Bahamas,Grand Bahama Island,Scuba diving,Injuries to arm,N,
2011-07-13,Usa,Texas,Surf fishing,Lacerations to left foot,N,
2011-07-15,Reunion,Saint-Gilles,Kayaking or Wave skiing,No injury,N,
2011-07-19,Usa,North Carolina,Boogie Boarding,Lower right leg & foot bitten,N,
2011-07-22,South Africa,Eastern Cape Province,Surfing,Upper left arm & right leg bitten,N,White Shark
2011-07-25,Usa,New Jersey,Wade Fishing,"No injury, shark bit boot",N,
2011-07-30,Philippines,,Sea disaster,The two Malabagos were bitten by sharks but survived. The other occupants of the boat  were rescued.,N,
2011-07-31,Brazil,Pernambuco,Swimming,Cause of death may have been drowning; remains scavenged by sharks,,
2011-08-01,Seychelles,Praslin,Diving,FATAL,Y,
2011-08-15,Usa,South Carolina,Playing in the surf,Puncture wounds to foot,N,
2011-08-16,Seychelles,Praslin,Swimming or Snorkeling,FATAL,Y,Bull Shark
2011-08-16,French Polynesia,Society Islands,Surfing,"No injury, board bitten",N,Reef Shark
2011-08-17,Usa,North Carolina,Wading,Lacerations to foot,N,Sandtiger Shark
2011-08-17,Russia,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Swimming,Hands severed,N,
2011-08-18,Russia,"Peter The Great Bay, Khasan, Primorsky Krai (Far East)",Swimming,"Lacerations to hip, thigh and knee",N,
2011-08-23,South Africa,Western Cape Province,Surfing,FATAL,Y,White Shark
2011-08-24,Usa,North Carolina,,Heel bitten,N,
2011-08-24,Usa,North Carolina,Surfing,Lacerations to foot,N,
2011-08-26,Russia,Primorsky Krai,"Standing, collecting sea stars",Superficial laceration to shoulder,N,
2011-08-28,Usa,Texas,Wade Fishing,"Lacerations to anterior left shin, abrasion to posteior right leg",N,
2011-08-28,Australia,Queensland,Swimming,FATAL,,
2011-08-31,Usa,Florida,Surfing,Lacerations to lower leg,N,
2011-09-02,Usa,Florida,Surfing,Lacerations to ankle & foot,N,Spinner Shark
2011-09-04,Usa,Hawaii,Surfing,"No injury, shark bit surfboard",N,
2011-09-04,Australia,Western Australia,Body boarding,FATAL,Y,White Shark
2011-09-11,Papua New Guinea,Central Province,Kite Surfing,Lacerations to right leg,N,Tiger Shark
2011-09-11,Usa,California,Surfing,"No injury, board bitten",N,
2011-09-16,Usa,Florida,Surfing,Lacerations to arm,N,
2011-09-17,Kenya,Coast Province,Swimming,FATAL,Y,
2011-09-19,Reunion,Saint-Gilles,Body boarding,FATAL,Y,
2011-09-20,Usa,Hawaii,Canoeing,"No injury, canoe bitten by shark",N,
2011-09-24,Usa,Florida,Spearfishing,Laceration to left thigh,N,Bull Shark
2011-09-24,Usa,South Carolina,Jumping in the waves,Laceration to left thigh,N,
2011-09-28,South Africa,Western Cape Province,Swimming,"Right leg severed, left leg lacerated",N,White Shark
2011-09-28,Dominican Republic,Saman� Province,Fishing,Severe injuries to left arm PROVOKED INCIDENT,N,
2011-09-30,Usa,Puerto Rico,Surfing,Lacerations to lower right leg ,,No Shark
2011-10-01,Usa,Alabama,,Lacerations to right wrist and middle finger,N,
2011-10-02,Usa,Florida,Wade fishing,Minor injury to thigh,N,
2011-10-05,Reunion,,Canoeing,No injury to occupant,N,
2011-10-09,Australia,Western Australia,Swimming,FATAL,Y,
2011-10-10,Usa,Oregon,Surfing,No injury,N,
2011-10-11,Usa,Florida,Surfing,Foot bitten,N,
2011-10-19,Australia,Victoria,Diving,Small bruise to calf,N,Jackson Shark
2011-10-20,Usa,Oregon,Surfing,"No injury, shark bit surfboard",N,White Shark
2011-10-22,Australia,Western Australia,Diving,FATAL,Y,White Shark
2011-10-28,Scotland,Moray,Surfing,"No injury, shark bumped leg & board. ",N,
2011-10-29,South Africa,Kwazulu-Natal,Diving,Arm bitten by captive shark PROVOKED INCIDENT,N,Raggedtooth Shark
2011-10-29,Usa,California,Surfing,"Lacerations to right wrist, foream & neck",N,White Shark
2011-11-11,Reunion,Bois-Blanc,Free diving / spearfishing,Left foot bitten,N,
2011-11-12,Brazil,Pernambuco,Surfing,Legs bitten,N,
2011-11-20,Papua New Guinea,East New Britain,Scuba diving,"No injury, shark collided with diver",N,
2011-11-22,Usa,California,Kayaking,"No injury, kayak bitten",N,White Shark
2011-11-28,Australia,Queensland,Swimming,Puncture marks to foot,N,Wobbegong Shark
2011-11-29,Indonesia,Bali,Surfing,Lacerations to right hand,N,
2011-12-02,Australia,New South Wales,Surfing,Torn shoulder ligament as result of collision with shark,N,
2011-12-05,Australia,Queensland,Spearfishing,Killed by a shark or crocodile.,,
2011-12-06,Usa,Oregon,Surfing,Minor injury to calf ,N,
2011-12-07,Australia,New South Wales,Surfing,Minor injuries to left leg ,N,Wobbegong Shark
2011-12-07,South Africa,Kwazulu-Natal,Surf skiing ,"No injury, ski damaged",,
2011-12-11,Australia,New South Wales,Surfing,5 puncture wounds to thigh,N,White Shark
2011-12-21,South Africa,Eastern Cape Province,Kayak Fishing,No injury but kayak dented,N,
2011-12-21,Usa,Hawaii,Canoeing,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT",N,
2011-12-23,Usa,Florida,Surfing,Laceration to ankle,N,
2011-12-25,Ecuador,Santa Elena,Surfing,Lacerations to left thigh and calf,N,
2011-12-26,Antigua,St John'S,Swimming,Bitten on right hand & wrist,,
2011-12-31,Usa,Florida,,Hand injured,N,
2012-01-02,Australia,Queensland,Spearfishing,"No injury, punctures to swim fin",N,Tiger Shark
2012-01-03,Australia,New South Wales,Surfing,Right forearm and wrist injured,N,
2012-01-13,Usa,Oregon,Surfing,"No injury, surfboard damaged",N,White Shark
2012-01-15,South Africa,Eastern Cape Province,Swimming,FATAL,Y,Bull Shark
2012-01-18,Australia,New South Wales,Surfing,Lacerations to thigh,N,White Shark
2012-01-18,Taiwan,Taitung,Fishing,Bitten on left thigh     PROVOKED ACCIDENT,N,Blue Shark
2012-01-19,Australia,Western Australia,Snorkeling,Lacerations to right forearm,N,Tiger Shark
2012-01-22,Bahamas,,"Diving, photographing sharks","No injury, shark grabbed his camera",N,Tiger Shark
2012-01-27,Usa,Hawaii,Snorkeling,"No injury, shark bit swim fin",N,
2012-02-06,Australia,Queensland,Surfing,"No injury, but fin lost from surfboard",N,
2012-02-20,South Africa,Western Cape Province,Fishing,"No injury to occupants, boat damaged",N,White Shark
2012-02-25,Australia,New South Wales,Fishing,Laceration to left foot,N,Nurse Shark
2012-02-26,Usa,Florida,Kite Surfing,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,Spinner Shark
2012-03-01,Chile,Antofagasta Province,Fishing (illegally),Hand injured PROVOKED INCIDENT,N,
2012-03-03,Saudi Arabia,Tabuk Province,Attempting to Kite surf from Egypt to Saudi Arabia,Harassed by sharks but not injured by them,,
2012-03-04,Usa,Florida,Kite Surfing,Lacerations to left calf,N,
2012-03-05,Reunion,Saint-Benoit,Body boarding,"No injury, board bitten",N,
2012-03-06,New Zealand,North Island,Surfing,Lacerations to left calf,N,
2012-03-06,Australia,Victoria,"Diving, feeding sharks",Superficial lacerations to right side of face PROVOKED ACCIDENT,N,Nurse Shark
2012-03-14,Usa,Florida,Surfing,Bitten on calf,N,
2012-03-14,Usa,Florida,Surfing,Bitten on ankle,N,
2012-03-15,Usa,Florida,Surfing,Left forearm bitten,N,Bull Shark
2012-03-20,Australia,Queensland,Surfing,Lacerations to left calf,N,Bull Shark
2012-03-22,Australia,Western Australia,Crayfishing,"No injury to occupants. Shark bit propelle, rope & crayfish float",N,White Shark
2012-03-24,Usa,Florida,Surfing,Minor lacerations to foot,N,
2012-03-31,Australia,Western Australia,Scuba diving,FATAL,Y,White Shark
2012-04-03,Usa,Hawaii,Surfing,Lacerations to left foot,N,Tiger Shark
2012-04-11,Australia,South Australia,Kayaking,Minor wound to his thigh when shark bit kayak,N,White Shark
2012-04-19,South Africa,Western Cape Province,Body boarding,FATAL,Y,White Shark
2012-04-19,Usa,Florida,Surfing,Lacerations to hand,N,
2012-05-06,Usa,California,Paddle boarding,"No injury, shark bit paddleboard",N,White Shark
2012-05-09,Usa,Florida,Swimming,Upper left thigh bitten,N,
2012-05-12,Usa,California,Kayaking / Fishing,"No injury, kayaker fell in the water when kayak bitten by a shark",N,White Shark
2012-05-16,Fiji,,Spearfishing,Lacerations to head,N,
2012-05-20,Usa,Hawaii,Kayak Fishing,"No injury, teethmarks in kayak",N,Tiger Shark
2012-05-23,Usa,Florida,Surfing,Lacerations to foot,N,
2012-05-29,Mexico,Guerrero,Free diving / spearfishing,Left hand severed,N,Bull Shark
2012-05-31,Usa,North Carolina,Wading,Foot bitten,N,
2012-06-02,Usa,Florida,Surfing,Laceration to thigh,N,
2012-06-02,Usa,South Carolina,Boogie Boarding,Severe laceration to foot,N,
2012-06-03,Australia,New South Wales,Surf skiing ,"No injury, ski bitten",N,White Shark
2012-06-10,Italy,Sardinia,Attempting to rescue an injured & beached shark,Lower left leg injured PROVOKED ACCIDENT,,Blue Shark
2012-06-12,Australia,Victoria,Surfing,Laceration to right foot,N,
2012-06-14,Usa,South Carolina,Swimming,Laceration to right foot,N,Blacktip Shark
2012-06-14,Usa,South Carolina,Swimming,Calf bitten,N,Blacktip Shark
2012-06-14,Usa,South Carolina,Swimming,Minor injury,N,
2012-06-14,Usa,South Carolina,Swimming,Foot & hand bitten,N,Blacktip Shark
2012-06-15,Usa,Florida,Fishing,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,Nurse Shark
2012-06-18,Usa,North Carolina,Wading,Numerous puncture wounds to leg ,N,
2012-06-19,Usa,South Carolina,Standing,"Laceration to foot. Injured by a stingray, not a shark",,No Shark
2012-06-20,Australia,Western Australia,Surf skiing ,"No injury, ski severely damaged",N,
2012-06-22,Usa,Florida,Swimming,Minor injury,N,
2012-06-22,Australia,Tasmania,Surfing,"Knocked off board, shark bit nose off surfboard",N,
2012-06-26,Usa,Hawaii,Sitting in the water,Laceration to left calf,N,Reef Shark
2012-06-26,Usa,Florida,Surfing,Nip to left foot,N,
2012-06-26,Usa,Florida,Swimming,Thigh bitten,N,Bull Shark
2012-06-28,Croatia,,Swimming,"Leg struck. Initally reported as a shark attack, but involved a swordfish",,No Shark
2012-07-06,South Africa,Western Cape Province,Surfing,Lacerattions to left thigh & knee,N,
2012-07-07,Usa,California,Kayaking,"No injury, kayak bitten",N,
2012-07-07,Australia,Victoria,Scuba diving,Cause of death was drowning & preceded shark involvement,,
2012-07-08,Usa,North Carolina,Swimming,Lacerations to right ankle and calf,N,
2012-07-14,Australia,Western Australia,Surfing,FATAL,Y,White Shark
2012-07-19,Canada,British Colombia,Surfing,"Lacerations to 2 fingers, but shark involvement unconfirmed",,Salmon Shark
2012-07-21,Trinidad & Tobago,Trinidad,Swimming,Probable drowning with post-mortem bite,,
2012-07-23,Reunion,Trois-Bassins,Surfing,FATAL,Y,
2012-07-30,Usa,Massachusetts,Body surfing,Lacerations to both legs below the knees,N,White Shark
2012-07-30,Usa,Hawaii,Surfing,Left foot bitten,N,
2012-07-31,Australia,South Australia,Surfing,Lacerations to torso & arm,N,White Shark
2012-07-31,Usa,California,Surfing,"No injury, surfer knocked off board when shark struck surfboard",N,
2012-08-04,French Polynesia,Tuamotus,Spearfishing,Shoulder bitten,N,Lemon Shark
2012-08-06,Reunion,Saint Leu,Surfing,Right hand and foot severed,N,Bull Shark
2012-08-08,Usa,Florida,Free diving ,Lacerations to little finger of left hand,N,Lemon Shark
2012-08-11,Australia,Western Australia,Fishing,"No injury, shark grabbed outboard motor",N,
2012-08-15,Usa,Alabama,Wading or swimming,Lacerations to leg,N,
2012-08-26,Brazil,Pernambuco,Swimming,FATAL,Y,
2012-08-28,Australia,Western Australia,Surfing,Lacerations to torso and arm,N,
2012-08-31,Scotland,Inner Hebrides,Shark fishing,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",N,Porbeagle Shark
2012-09-02,Usa,Florida,Boogie boarding,Puncture wounds to calf and hand,N,
2012-09-02,Usa,Florida,Swimming or boogie boarding,Puncture wound to left ankle,N,
2012-09-02,Usa,Hawaii,Spearfishing,Minor laceration to hand  PROVOKED INCIDENT,N,Tiger Shark
2012-09-04,Usa,Florida,Surfing,Puncture wounds to hand,N,
2012-09-06,Usa,Florida,Surfing,Lacerations to foot,N,
2012-09-06,Usa,Florida,Surfing,Right calf bitten,N,
2012-09-08,Usa,Florida,Swimming,Lacerations to right calf,N,
2012-09-08,Usa,Florida,Surfing,Right foot bitten,N,
2012-09-09,Usa,Florida,Surfing,Minor injury to elbow,N,
2012-09-10,Tonga,Vava'U,Swimming,Injuries to thighs & buttocks,N,Bull Shark
2012-09-16,Usa,Florida,Surfing,Foot bitten,N,
2012-09-24,Usa,Florida,Surfing,Left foot bitten,N,
2012-09-25,Usa,Florida,Surfing,Lacerations to left forearm,N,
2012-10-02,Australia,Western Australia,Bodyboarding,"No injury, but swim fin bitten & torn",N,2M Shark
2012-10-10,Usa,California,Windsurfing,"No ijnury to boardrider, shark struck board breaking the mast",N,
2012-10-11,Nigeria,Delta,Bathing,Laceration to right leg,N,
2012-10-18,Usa,Hawaii,Paddle boarding,"No injury, board bitten",N,
2012-10-18,Usa,Florida,Surfing,Minor bite to ankle,N,
2012-10-19,Usa,Florida,,Left calf bitten,N,
2012-10-23,Usa,California,Surfing,FATAL,Y,White Shark
2012-10-27,Usa,Hawaii,Swimming,"Puncture wounds to thigh, defense wounds  to hand",N,Tiger Shark
2012-10-30,Usa,California,Surfing,Multiple lacerations to torso,N,White Shark
2012-11-04,Usa,Hawaii,Diving,Right lower leg and foot bitten,N,Tiger Shark
2012-11-04,Usa,Hawaii,Surfing,"No injury, surfboard bitten",N,Tiger Shark
2012-11-19,Usa,Florida,Surfing,Minor lacerations to left foot & heel,N,
2012-11-22,Mexico,Sinaloa,Swimming,FATAL,Y,
2012-11-27,Australia,Queensland,,"Injury to ankle caused  by a stingray, not a shark",,No Shark
2012-11-30,Usa,Hawaii,Snorkeling,Lacerations to thigh & lower left leg,N,Tiger Shark
2012-12-02,Australia,New South Wales,Spearfishing,Minor puncture wounds to knee,N,Sandtiger Shark
2012-12-05,Usa,Hawaii,Surfing,Lacerations to left foot,N,
2012-12-19,Australia,Western Australia,Surfing,No injury,N,Tiger Shark
2012-12-25,South Africa,Eastern Cape Province,Swimming,FATAL,Y,Tiger Shark
2012-12-28,Australia,New South Wales,Paddle boarding,Lacerations to thigh and hand,N,Bull Shark
2012-12-30,Australia,New South Wales,Surfing,"No injury, chunk missing from surfboard",N,
2012-12-31,Usa,Florida,Swimming,Lower leg or ankle bitten,N,
2013-01-05,Australia,Western Australia,Spearfishing / Free diving,Calf & shin bitten ,N,
2013-01-13,New Zealand,Mercury Islands,Spearfishing,Minor cut on finger,N,Whaler Shark
2013-01-16,Usa,Hawaii,Surfing,Left forearm bitten ,N,Tiger Shark
2013-01-21,Australia,Queensland,Dragging stranded shark into deeper water,"No injury, a 3 m blue shark merely snapped at the man.",,
2013-01-25,Australia,Queensland,Surfing,Lacerations to neck,N,
2013-01-26,Australia,Victoria,Fishing,"No injury to occupants, shark bit propeller",N,White Shark
2013-02-01,Jamaica,Kingston Parish,,Knee bitten,N,
2013-02-09,French Polynesia,Society Islands,Scuba diving,Lacerations to right arm & thigh,N,Lemon Shark
2013-02-10,Usa,Florida,Surfing,Lacerations to right hand,N,Blacktip Shark
2013-02-21,Usa,Hawaii,Surfing,"No injury, shark bit rail of foam board",N,Reef Shark
2013-02-21,Usa,Hawaii,Surfing,Lacerations to right leg,N,Reef Shark
2013-02-27,New Zealand,North Island,Swimming,FATAL,Y,White Shark
2013-03-03,South Africa,Eastern Cape Province,Swimming,Injuries to arms & hands,N,
2013-03-10,Philippines,Palawan,Swimming to shore with floatioon devices after boat engine conked out,Minor leg injuries,N,Small Shark
2013-03-10,Australia,Western Australia,Spearfishing,Laceration to left hand,N,Whaler Shark
2013-03-12,Jamaica,St. Catherine,Spearfishing,FATAL,Y,Tiger Shark
2013-03-16,South Africa,Western Cape Province,Fishing - 'tag & release',Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,N,Raggedtooth Shark
2013-03-16,South Africa,Western Cape Province,Surfing,"No injury, surfboard bitten",N,
2013-03-21,Bahamas,Eleuthera,Fly fishing,Left foot bitten,N,
2013-03-21,Belize,,Snorkeling,Toe injured,N,Nurse Shark
2013-03-29,Seychelles,,Free diving,Lacerations to left foot,N,
2013-03-31,Australia,New South Wales,Surfing,Never happened; it was a  hoax,,No Shark
2013-04-02,Usa,Hawaii,Surfing,Right thigh bitten,N,
2013-04-04,Usa,Florida,Swimming,Lacerations to hand,N,
2013-04-10,French Polynesia,Tuamotus,Kite boarding,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N,Reef Shark
2013-04-13,Usa,Florida,Surfing,Minor lacerations to right hand,N,Bull Shark
2013-04-14,South Africa,Western Cape Province,Free diving,"""Light scratch on hand/wrist area""",N,Blue Shark
2013-04-17,Usa,Florida,Playing in the surf,Lacerations to right foot,N,
2013-04-21,Australia,New South Wales,Fishing,Puncture wounds and lacerations to both legs,N,Nurse Shark
2013-04-24,Mexico,Quintana Roo,Swimming,Avulsion injury  to lower right leg,N,Tiger Shark
2013-04-28,Australia,New South Wales,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,N,
2013-05-04,Usa,Florida,Surfing,Lacerations to left foot and ankle,N,Small Shark
2013-05-08,Reunion,Saint-Gilles,Body boarding,FATAL,Y,Bull Shark
2013-05-08,Usa,California,Surfing,Shark bites were post-mortem,,
2013-05-23,Palestinian Territories,,Fishing,Two fingers lost PROVOKED INCIDENT,N,
2013-05-23,Brazil,Pernambuco,,FATAL,Y,
2013-05-27,Usa,Florida,Swimming,Right foot bitten,N,
2013-05-27,Usa,Hawaii,Diving,Lacerations to right hand,N,Galapagos Shark
2013-06-06,Usa,Florida,Fishing for sharks,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,N,Lemon Shark
2013-06-06,Australia,New South Wales,Surfing,"No injury, board damaged",N,
2013-06-14,Usa,South Carolina,Boogie Boarding,Puncture marks to hand,N,
2013-06-15,Usa,Florida,Surfing,Lacerations to left ankle,N,
2013-06-16,South Africa,Eastern Cape Province,Surfing,Lacerations to knee,N,
2013-06-17,Usa,Texas,Swimming,Left leg & hand bitten,N,
2013-06-18,Usa,Hawaii,Swimming,Right thigh & calf bitten,N,Tiger Shark
2013-06-25,Usa,South Carolina,Swimming,"Bitten on lower right leg, reported as a minor injury",N,
2013-06-25,Usa,Florida,Swimming,Lacerations to left foot,N,Bull Shark
2013-06-25,Usa,California,Kayaking / Fishing,"No injury, kayak scratched",N,White Shark
2013-06-30,Taiwan,Taitung,Fishing,Right thigh bitten,N,
2013-07-02,Australia,Victoria,Body surfing,"No injury, holes in wetsuit ",N,
2013-07-07,Spain,Catalonia,Swimming,"Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement",,
2013-07-11,Usa,North Carolina,Wading,Right foot bitten,N,
2013-07-14,Diego Garcia,,Swimming,FATAL,Y,
2013-07-15,Reunion,Saint-Paul,Swimming & snorkeling,FATAL,Y,
2013-07-17,Usa,Florida,Swimming ,4 cuts to posterior calf,N,
2013-07-19,Usa,Alabama,Walking in surf,Lacerations and abrasions to foot and ankle,N,
2013-07-22,Brazil,Pernambuco,Swimming,FATAL,Y,
2013-07-28,Bahamas,Abaco Islands,Spearfishing,Leg bitten,N,
2013-07-28,Bahamas,Abaco Islands,Diving,Bitten on rear lower extremities,N,
2013-07-28,Bahamas,Exuma Islands,Cleaning fish,Bitten on left hand,N,Nurse Shark
2013-07-29,Usa,Hawaii,Surfing,Lower leg bitten,N,Tiger Shark
2013-07-29,Mexico,Quintana Roo,Wading,Hip bitten,N,
2013-07-30,Usa,South Carolina,Swimming,Foot bitten,N,
2013-07-31,Usa,Hawaii,Snorkeling,"Lacerations to hand, face and torso",N,
2013-08-05,Usa,Florida,Fishing,Minor injury to foot & shin,N,Bull Shark
2013-08-08,South Africa,,Attempting to free the shark,"Unknown, but survived",N,Blacktip Shark
2013-08-11,Usa,South Carolina,Surfing,"No injury, shark became entangled in his surfboard leash",N,Bull Shark
2013-08-13,Usa,Hawaii,Kiteboarding,No injury & not on board. Board adrift when bitten by shark,N,
2013-08-14,Usa,Hawaii,Snorkeling,FATAL,Y,Tiger Shark
2013-08-17,Usa,California,Surfing,"No injury, shark bumped surfboard",N,White Shark
2013-08-18,Usa,Hawaii,Surfing,Lacerations to buttocks & thigh,N,
2013-08-25,Australia,New South Wales,Wrangling a shark,Lacerations to left forearm,N,
2013-08-25,Usa,Florida,Boogie boarding,Minor injury to left lower leg & heel,N,
2013-08-26,France,Bay Of Biscay,Longline fishing for sharks,Laceration to right arm from hooked shark  PROVOKED INCIDENT,N,Mako Shark
2013-08-29,Usa,California,Marathon swimming,"Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish",,No Shark
2013-08-31,Bahamas,,Spearfishing,Lower left leg bitten,N,Blacktip Shark
2013-08-31,Usa,California,Swimming,Foot bitten,N,Salmon Shark
2013-09-01,Usa,Florida,Casting a net,Lacerations to left calf,N,
2013-09-01,Usa,Florida,,Arm bitten by captive shark PROVOKED INCIDENT,N,Nurse Shark
2013-09-02,Usa,Florida,Swimming,Shoulder bitten,N,
2013-09-07,Usa,Florida,Standing,"Minor injury, shin bitten",N,
2013-09-07,Usa,Florida,Surfing,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,N,
2013-09-12,Usa,Florida,Surfing,Heel bitten,N,
2013-09-14,Usa,Florida,Swimming,Lacerations to right foot,N,Bull Shark
2013-09-21,Usa,Florida,Swimming,Lacerations to right foot,N,
2013-09-21,Usa,Florida,Surfing,Lacerations to left foream,N,
2013-09-25,Usa,Florida,Standing,Laceration and puncture wounds to ankle,N,
2013-09-29,Israel,Southern District,Diving,Hand bitten ,N,
2013-09-29,Usa,Florida,Surfing,Lacerations to hand,N,
2013-10-06,Usa,California,Surfing,Laceration to thigh,N,White Shark
2013-10-08,Australia,Western Australia,Diving for Abalone,"Injuries to torso, head and face",N,White Shark
2013-10-10,Usa,Florida,Wading,Lacerations to  right forearm,N,Bull Shark
2013-10-11,South Africa,Eastern Cape Province,Swimming / snorkeling,FATAL,Y,White Shark
2013-10-19,Usa,Florida,Wading,Bitten on left calf & foot,N,Nurse Shark
2013-10-20,Usa,Hawaii,Surfing,"No injury, shark bit surfboard",N,Tiger Shark
2013-10-23,Usa,Hawaii,Diving ,"3"" laceration to left hip",N,Reef Shark
2013-10-24,Australia,New South Wales,Surfing,Injuries to right foot,N,Wobbegong Shark
